title,text,date,label
HOLLYWOOD’S SLICK PRO-HILLARY AD Gets A TRUMP Redo You’ll Love [Video],"A bunch of celebrities set out to hijack our election but we Trump supporters hijacked their pompous ad. #MAGA retweet make this go viral! pic.twitter.com/rVDCvSc9G9  Elizabeth Imus (@imuszero) September 23, 2016",23-Sep-16,False Report
"China and India are development opportunities for each other, not threats, Xi tells Modi","BEIJING (Reuters) - Chinese President Xi Jinping told Indian Prime Minister Narendra Modi the two Asian giants are development opportunities for each other, not threats, China s foreign ministry spokesman, Geng Shuang, told a regular news briefing on Tuesday. Xi held a meeting with Modi in the southeastern Chinese town of Xiamen on the sidelines of a summit of the BRICS grouping of nations. ",5-Sep-17,True Report
"Fight over Alaska Arctic drilling has just begun, opponents vow","WASHINGTON (Reuters) - Senator Lisa Murkowski, an Alaska Republican, won a decades-long battle on Wednesday to open part of an Arctic wildlife reserve in her state to oil and gas drilling, but Democratic senators and conservationists vow the war has only begun.  The tax bill passed by Congress contains language pushed by Murkowski and supported by President Donald Trump to hold two lease sales in the 1.5 million-acre (600,000-hectare) 1002 area on the northern coastal plain of the Arctic National Wildlife Refuge, or ANWR.  Democrats and environmentalists deplore the prospect of development in ANWR, home to polar and grizzly bears, 200 species of birds, and where Gwich’in natives depend on migrating herds of porcupine caribou.  Senator Maria Cantwell, a Democrat, said the fight over the drilling was not over. “In fact I would say today is the beginning,” said Cantwell adding that Democrats would make sure the Trump administration follows all environmental laws before allowing drilling. Murkowski said ANWR oil would provide jobs, reduce U.S. imports of crude and help fill the Trans-Alaska Pipeline, a source of oil for the U.S. West Coast. The pipeline is now operating at a quarter of its capacity, after Alaskan production slumped in recent years.  Trump, expected to quickly sign the tax bill into law, said he had not been aware that fellow Republican politicians had long been trying to get at the oil in ANWR.  “A friend of mine who is in the oil business said: ‘I can’t believe it. ANWR. They’ve been trying get it for 40 years,’” Trump said at the start of a Cabinet meeting. Trump said opening ANWR, a move supported by some members of the native Iñupiat tribe, would put the country, already the world’s top oil and natural gas producer, at a new level. But environmentalists said there were many stages, such as applications by companies to conduct seismic tests in the refuge, at which they could block drillers with lawsuits over endangered species and other environmental laws.  Suzanne Bostrom, a lawyer at Trustees for Alaska, a nonprofit environmental law firm, said opponents would scrutinize applications by energy companies for exploration, development, leasing and oil and gas production. “We will be working every step of the way to make sure that the coastal plain is protected,” said Bostrom. The Interior Department will carry out environmental reviews of the lease sales, one to be held within four years and another within seven years, that opponents will track.  Environmental lawyers have had success in stopping drilling in the harsh and frigid Arctic. In 2015, Royal Dutch Shell ended a $7 billion quest to find oil offshore Alaska partly because environmental groups uncovered a little-known law that limited the number of drilling wells. Analysts at British bank Barclays said environmentalists could delay the lease sales and project approvals and “may discourage investment” entirely. Still, the bank said if new surveys show promising ANWR deposits, the region could attract producers that drill in frontier regions in Latin America and the Middle East. Senator Edward Markey, a longtime opponent of Arctic drilling, said the Republican tactic of including the drilling in a bill that only needed 50 votes in the Senate could backfire and help Democrats pick up seats in the 2018 congressional elections. Nobody knows how much oil the refuge contains, but the U.S. Geological Survey estimated in 1998 that the 1002 area held about 10.4 billion barrels of recoverable crude.  But a global oil glut that has kept domestic oil prices at levels below $60 a barrel may prevent wide success in ANWR. In a lease sale this month for land in Arctic Alaska, less than 1 percent of the 10.3 million acres (4.2 million hectares) received bids from oil companies.  ",20-Dec-17,True Report
Barca's Valverde skirts independence debate as Iniesta ruled out for Bilbao,"MADRID, (Reuters) - Barcelona boss Ernesto Valverde declined to be drawn on Friday on whether a declaration of independence by Catalonia s parliament meant his side might end up being kicked out of La Liga.     The Spanish football league s president Javier Tebas was previously quoted as saying that, should Catalonia become independent, the region s sides would not be able to compete in La Liga.  Valverde declined to comment on the possibility of that happening.      Nothing has happened (in relation to Barcelona not being in La Liga) and we re only talking about hypothetical situations,  he said.      I have my own opinion but I just want to concentrate on sporting questions, especially because the political situation appears to change every half hour.      In a bid to draw a line under Spain s worst political crisis in 40 years, the government in Madrid on Friday sacked Catalonia s regional government, dissolved the Catalan parliament and called a snap election in the region for Dec. 21. In what appears to be a doomed gesture, the parliament had hours earlier declared independence following a referendum on secession that Spanish courts had ruled was illegal. On the pitch, table-topping Barca confirmed that midfield playmaker Andres Iniesta would miss Saturday s visit to Athletic Bilbao.     The club captain, who this week was named in the FIFPro Team of the Year, has a thigh strain and adds to a growing list of absentees for Valverde that also includes Ousmane Dembele, Rafinha, Arda Turan, Aleix Vidal and Thomas Vermaelen.     The news is not all negative, however, with full back Jordi Alba given the green light by the club s medical staff to return to action.     Valverde joined Barca from Bilbao in the summer and will visit his former club as coach of the Catalans for the first time, insisting he will not allow emotion to get the better of him.      For me it s a special game. A lot of things link me to Athletic, but tomorrow I am the opponent,  he said. ",27-Oct-17,True Report
Trump says wall may not need to cover entire U.S.-Mexico border,"PARIS (Reuters) - President Donald Trump said the wall he wants to build on the 2,000-mile (3,200-km) U.S.-Mexico frontier may not need to cover the entire border because of existing natural barriers, according to remarks released by the White House on Thursday. On a flight to Paris from Washington, Trump told reporters aboard Air Force One: “You have mountains. You have some rivers that are violent and vicious. You have some areas that are so far away that you don’t really have people crossing. “But you’ll need anywhere from 700 to 900 miles.” Trump also told reporters on the plane it was important that border agents and others should be able to see through the wall so they could be aware of oncoming dangers. “As horrible as it sounds, when they throw the large sacks of drugs over, and if you have people on the other side of the wall, you don’t see them. They hit you on the head with 60 pounds of stuff? It’s over,” Trump said.   One of Trump’s major 2016 campaign promises was to build a border wall to fight illegal immigration. His vow that Mexico would pay for the wall, which the Mexican government has insisted it will not do, has strained relations between the two neighbors. Trump has since said he will find a way for Mexico to repay the United States for construction of the wall but that Congress would need to fund it first. But almost six months into his presidency, he has so far asked Congress for only $1.6 billion for a project estimated to cost more than $20 billion. The border, which stretches across four U.S. states, already has 600 miles (965 km) of barriers, including fences and walls. Republicans on the House of Representatives Appropriations Committee introduced a bill on Tuesday that funded the $1.6 billion request, but Senate Democrats are likely to oppose it. ",13-Jul-17,True Report
" Ted Cruz Repeats Lie About SCOTUS Nominations, Vows To Block Anyone Obama Chooses (VIDEO)","After being embarrassed on live television Saturday night when John Dickerson fact-checked his lie about Supreme Court history, Ted Cruz showed no shame as he repeated the same line on Sunday.The GOP Debate started off on Saturday night with Dickerson asked Cruz about whether or not President Obama should be able to name a successor to Supreme Court Justice Antonin Scalia, who died earlier that day.Cruz claimed that a Supreme Court nominee named by a lame duck president has not been confirmed by the Senate in 80 years. Dickerson, however, pointed out that former President Ronald Reagan s nomination of Justice Anthony Kennedy to the bench in 1987 was confirmed by the Senate in 1988, the final year of Reagan s presidency. Thus, Dickerson caught Cruz lying, which stunned the candidate into silence as the crowd booed the moderator for bringing up pesky facts.During an appearance on ABC s This Week, the Texas Senator told George Stephanopoulos the very same lie and then blamed Democrats as the reason why Kennedy was only confirmed in 1988, claiming that it would never have happened if they had just automatically confirmed universally despised nominee Robert Bork instead of rejecting him and his extremism. George, the Senate has not confirmed a nominee that was named in the final year, an election year, in 80 years. This is a lame duck president. And, by the way, the only reason Anthony Kennedy was nominated that late is that Democrats in the Senate had gone after and defeated two previous nominees, Robert Bork, which set a new standard for partisan attacks on a nominee, and Doug Ginsburg. So it was the Democrats that had dragged it out for many months to make it that late. And right now, the court is exquisitely balanced. The fact is, however, that there is a process to Supreme Court nominations and confirmations. Many presidents have had their nominees rejected by the Senate, so it s not like Reagan was the first to have a nominee fail to be confirmed. The bottom line is that Cruz is still wrong on his Supreme Court history.But Cruz wasn t done. Upon being asked if he would filibuster anyone President Obama nominates to fill Scalia s seat, Cruz replied  Absolutely,  and said that the people should decide who fills the seat by electing the next president. This should be a decision for the people, George. We ve got an election. And, you know, Democrats   I cannot wait to stand on that stage with Hillary Clinton or with Bernie Sanders and take the case to the people, what vision of the Supreme Court do you want? Let the election decide it. If the Democrats want to replace this nominee, they need to win the election. Here s the video via ABC. ABC Breaking News | Latest News VideosThis is a particularly hard argument to make since Americans elected President Obama for a full four year second term in 2012 by five million votes. President Obama has nearly a full year left in office, so it is absolutely absurd, not to mention an admission that Republican will refuse to do their constitutional duty, to suggest that President Obama should force America to wait a full year or more before the Supreme Court is functioning with a full nine member bench again. President Obama earned the right to nominate a Supreme Court Justice when he won the 2012 Election. Ted Cruz and his Republican comrades need to get over it and do their damn jobs. Featured image via video screen capture",14-Feb-16,False Report
U.S. urges African nations to press North Korea over nuclear program,"WASHINGTON (Reuters) - U.S. Secretary of State Rex Tillerson urged African leaders on Friday to take further actions to pressure North Korea to end its nuclear and missile programs, including downgrading diplomatic ties and expelling North Korean laborers.  All nations must act to implement U.N. sanctions in full,  Tillerson told a trade and security gathering with African ministers.  Further, I urge you to take additional measures to pressure the DPRK by downgrading your diplomatic relationships with the regime, severing economic ties, expelling all DPRK laborers and reducing North Korea s presence in your country.  The U.S. State Department said on Thursday that Sudan had committed to severing trade and military ties with North Korea. ",17-Nov-17,True Report
NATIONAL TREND? Jimmy John’s Employee Refuses To Serve Police Officer [VIDEO],"How many of these punks treating police officers with disrespect will be the first to call them when they need help?A Minnesota sandwich shop worker should have thought twice before refusing to serve a police officer his lunch.The problem started Thursday when Edina Police Officer Marcus Limbeck went to a the Bloomington Jimmy John s restaurant and was confronted in the parking lot by an angry delivery driver who told him they would not serve him because the police ticket too many of the company s drivers, Fox 9 reported.Officer Limbeck emailed some other officers to tell them of his experience with the unruly driver, according to Fox 9.Edina patrol officer, Marcus Limbeck told his fellow officers in an e-mail the delivery driver yelled at him in the parking lot,  you coming down here to give us tickets now?  inside, the same driver told him,  you re not getting a sandwich here.   you ve given almost everybody here a ticket.   go get your sandwich someplace else.  The officer says the other workers were just laughing and snickering. Customers were in disbelief that they actually refused to serve the officer. But the story has a happy ending   for the cops, if not for the employee. The comments were so egregious we terminated the employee immediatel,  the franchise owner Dan Vansteenburg told Fox 9.  We have a lot of respect for law enforcement. We are a law-abiding sandwich shop, but we are on the road and we deliver sandwiches. Vansteenburg also said he s like to treat all Edina officers to free sandwiches or make a special donation to make up for it.According to Fox 9 Edina does write more tickets than any town in Minnesota but it also have one of the state s lowest accident fatality rates.Via: BizPac Review",18-Aug-15,False Report
U.S. budget deficit to reach $600 billion in 2016: White House,"WASHINGTON (Reuters) - The U.S. budget deficit is projected to rise to $600 billion in 2016, $16 billion less than previously expected, the White House Office of Management and Budget said on Friday. In a mid-session review, the administration said the 2016 deficit is now projected to be 3.3 percent of Gross Domestic Product (GDP). ",15-Jul-16,True Report
U.S. appeals court says Texas can implement voter ID law,"(Reuters) - The state of Texas won at least a temporary victory on Tuesday in its bid to implement a controversial voter identification law when a federal appeals court stayed a ruling by a U.S. district court judge that barred its enforcement. A three-member panel of the U.S. 5th Circuit Court of Appeals in New Orleans voted 2-1 to put the lower court judge’s ruling on hold while it considers the constitutionality of the law, which was passed this year by the state’s Republican-controlled legislature. That bill was meant to fix elements of a 2011 voter ID measure that was considered one of the strictest in the United States and subject to years of court challenges during the Obama administration. President Donald Trump, who campaigned on cutting voter fraud, has supported Texas’ bid to require that voters show a form of identification. “The state has made a strong showing that it is likely to succeed on the merits (of the case)” Judges Jennifer Elrod and Jerry Smith wrote in a six-page ruling.  In a four-page dissenting opinion, Judge James Graves wrote that if the 5th Circuit was going to take up the case, it should have stayed the entire law from taking effect until a final ruling was issued. Lauren Ehrsam, a spokeswoman for the U.S. Department of Justice, said in a written statement “We are pleased that the Fifth Circuit has stayed the injunction and allowed Texas to proceed with its duly enacted voter identification laws.” “Preserving the integrity of the ballot is vital to our democracy, and the Fifth Circuit’s order allows Texas to continue to fulfill that duty as this case moves forward,” Ehrsam said. Texas Democratic Party Chairman Gilberto Hinojosa could not be reached for comment on the ruling on Tuesday evening. Hiojosa has previously likened the voter ID requirements to “Jim Crow-era tactics” designed to keep Republican lawmakers in power.Critics say the Texas law and similar statutes enacted in other states were tailored to make it harder for minorities and immigrants, including black and Hispanic voters who are less likely to have the authorized IDs and tend to favor Democrats, to cast ballots. Backers say the laws are necessary to prevent voter fraud and are no more onerous than the requirements imposed by states for driving a motor vehicle. ",6-Sep-17,True Report
California university system sues Trump over roll back of 'dreamers' program,"(Reuters) - A former top security official who helped put in place a program protecting people brought to the United States illegally as children, is suing the Trump White House as head of the University of California system over plans to roll back the policy. Janet Napolitano, the former U.S. Secretary of Homeland Security under President Barack Obama, said in a lawsuit filed on Friday that ended the 2012 Deferred Action for Childhood Arrival program, or DACA, violates the due process of about 800,000 beneficiaries, known as “dreamers,” who were granted permits that protected them from deportation. “The University has constitutionally-protected interests in the multiple educational benefits that flow from a diverse student body,” the lawsuit in U.S. District Court in Northern California said. “If these students leave the University before completing their education, UC will lose the benefits it derives from their contributions, as well as the value of the time and money it invested in these students.” The lawsuit also argues Trump did not follow the proper procedures needed to cancel a program of this magnitude. California has more DACA recipients than any other state, many are in their 20s and are current students.  “They’ve grown up here, they’ve gotten their educations here, many of them don’t even speak the language of the country to which they would be deported if this decision were allowed to stand,” Napolitano said on a call with reporters. The legal challenge comes on top of a separate lawsuit filed earlier in the week by 16 Democratic Attorneys General saying the president’s decision to end the program was based in part on racial animus towards Mexicans, who are the largest beneficiaries. Department of Justice spokesman Devin O’Malley gave the same comment about Napolitano’s lawsuit as he did in response to the lawsuit by the states. Attorney General Jeff Sessions in announcing his decision to end the program said it was “inconsistent with the Constitution’s separation of powers.” Obama enacted DACA through an executive action implemented by the Department of Homeland Security after Congress failed to pass legislation. “While the plaintiffs in today’s lawsuit may believe that an arbitrary circumvention of Congress is lawful, the Department of Justice looks forward to defending this Administration’s position,” O’Malley said in a statement. Trump, who delayed the end of the program until March 5, shifted responsibility to a Congress controlled by his fellow Republicans, saying it was now up to lawmakers to pass immigration legislation that could address the fate of those protected by DACA. Trump’s move was criticized by business and religious leaders, mayors, governors, Democratic lawmakers, unions and civil liberties advocates.  Legal experts have said that court challenges to Trump’s actions could face an uphill battle, since the president typically has wide authority when it comes to implementing immigration policy. ",8-Sep-17,True Report
Mosley would have kept Ecclestone at F1 helm,"LONDON (Reuters) - Formula One’s new owners Liberty Media may have made a mistake  in ousting commercial supremo Bernie Ecclestone immediately after completing their takeover of the sport, according to former FIA president Max Mosley. Ecclestone, 86, was replaced by American Chase Carey on Jan. 23 as chief executive of Formula One and appointed ‘Emeritus Chairman’ - a position without a clearly defined role for the Briton. Liberty have, however, said they hope Ecclestone will continue to offer advice to the board. “If it had been me in the case of Liberty, I’d have kept Bernie on to do the things that he’s superbly good at - such as dealing with the promoters and the organizers and all that side of it,” Mosley told Reuters. The Briton, a close ally of Ecclestone while running the governing body, said Liberty could have concentrated on “doing the things that up to now have not been done” in Formula One such as virtual reality and digital technology. “But of course they bought a business and are fully entitled to come in and think they can run the whole business better and we’ll just have to see what happens,” added the 76-year-old, speaking at F1’s annual Zoom charity auction on Friday night. Mosley, who stood down as president of the International Automobile Federation in 2009, cautioned against too much rapid change in the sport. Liberty have spoken about increasing the number of grands prix, particularly in the Americas, changing the weekend format and giving every round of the championship the ‘Super Bowl’ treatment. Carey, who has appointed former ESPN executive Sean Bratches to run the commercial side with former Mercedes principal Ross Brawn overseeing motorsport matters, has spoken of F1 being like ‘21 Super Bowls’ in a season. “You’ve always got to be careful, if it ain’t broke don’t fix it. But they are fully aware of that,” said Mosley. “They (Liberty) are serious business people. Whether they can deal with everything better than they could have dealt with it using Bernie for the things he’s good at, and then doing the things that they know about, is an open question. We shall see.” Mosley agreed that Liberty had plenty on their plate in the coming months and might find a few bumps in the road ahead despite their undoubted expertise. “It always looks easy from the outside,” he warned. “It’s like if I think I could go and fix horse racing. But if you actually go and try and do it, you find there are a whole mass of problems you never even knew about. But maybe they will be very successful and get the job done.” With Super Bowl 51 coming up in Houston on Sunday, Mosley was also wary of comparisons between how the National Football League spectacular is presented over the course of a week and grand prix racing. “I think that’s easy to say, it’s not quite clear to me what that means,” he said of the suggestion that every race could be treated like a Super Bowl, with more razzamatazz and events leading up to it. “But the Super Bowl...is that so wonderful? I don’t want to be unkind, but Americans always think they can do everything better than anybody else. And they’re not always right as a lot of recent history shows.” ",4-Feb-17,True Report
"UAE says Egyptian ex-premier Shafik left for Egypt, family still in UAE","DUBAI (Reuters) - Former Egyptian prime minister Ahmed Shafik has left the United Arab Emirates (UAE) for Egypt but his family has remained behind, UAE news agency WAM reported on Saturday.  General Ahmed Shafik s family is still in the country in the gracious care of the state of the United Arab Emirates,  the agency said, quoting an official UAE source.  ",2-Dec-17,True Report
Former head of Chinese news agency expelled from party for graft,"BEIJING (Reuters) - The retired former head of a Chinese state-run news agency has been expelled from the ruling Communist Party for graft, an anti-corruption watchdog said on Monday. Liu Beixian, editor-in-chief of the China News Service until retiring in February 2015, accepted bribes and expensive gifts while abusing his power to obtain financial gain for private enterprises, the watchdog, the Central Commission for Discipline Inspection, said in a statement. The commission said Liu, 62, also violated regulations by flying first class multiple times and he was uncooperative when being investigated.  As a leading cadre, Liu Beixian lost his ideals and convictions and had serious thoughts of privilege,  the commission said, adding that the evidence would be transferred to relevant judicial authorities for prosecution. It was not possible to reach Liu or a legal or family representative for comment. Liu was put under investigation in August for  serious disciplinary violations , a euphemism for graft. The China News Service is run under the auspices of the cabinet s Overseas Chinese Affairs Office, and is designed to serve as a news source for Chinese communities in places like Hong Kong and self-ruled Taiwan. It is separate from Xinhua, China s official news agency. Liu began working at the China News Service in 1983 and was its Hong Kong bureau chief from 1997 to 2000, according to his official resume. The former British territory was handed back to China in 1997. President Xi Jinping has mounted a sweeping campaign against deep-rooted corruption since taking office five years ago, jailing or meting out lesser punishments to hundreds of thousands of officials. ",13-Nov-17,True Report
